Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Dividend yield,From 52w high,Down from 52w high,Up from 52w low,Return over 1year
Tirupati Forge,,TIRUPATIFL,Castings & Forgings,16.45,161.21,0,0.75,24.71,143.7,76.34
Ameya Precision,,AMEYA,Engineering,83.7,62.79,0,0.97,3.13,137.78,76.47
Mahalaxmi Seam.,513460,,Steel - Medium / Small,10.3,5.44,0,0.7,30.17,74.87,76.58
Resgen,543805,,Refineries,81.5,170.93,0,0.72,27.84,96.81,76.7
FCS Software,532666,FCSSOFT,Computers - Software - Medium / Small,3.87,661.6,0,0.58,42.15,86.06,76.74
Ramkrishna Forg.,532527,RKFORGE,Castings & Forgings,669.65,12106.8,0.29,0.82,17.83,83.47,76.76
Bengal & Assam,533095,,Finance & Investments,8100,9150.02,0.3,0.78,22.03,77.67,76.81
Hipolin,530853,,Detergents / Intermediates,133.6,41.81,0,0.79,20.9,96.18,76.91
Natura Hue Chem,531834,,Miscellaneous,7.5,3.12,0,0.75,25.15,113.68,77.01
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1157.7,29371.37,0.32,0.84,15.78,67.49,77.09
Morepen Labs.,500288,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,46.25,2364.2,0,0.82,18,76.73,77.14
Welspun Special.,500365,,Steel - Medium / Small,36.45,1932.17,0,0.79,20.81,77.72,77.23
Jai Corp,512237,JAICORPLTD,Plastics Products,285.65,5097.45,0.17,0.67,32.63,77.26,77.24
Jupiter Info.,534623,,Miscellaneous,36.55,36.62,0,0.63,36.96,98.64,77.35
Antony Waste han,543254,AWHCL,Miscellaneous,441.15,1252.02,0,0.76,23.84,77.88,77.39
Sealmatic India,543782,,Engineering,533,482.38,0.21,0.61,38.67,73.9,77.46
The Byke Hospi.,531373,BYKE,Hotels,70.15,281.28,0,0.87,13.07,101,77.48
Kandagiri Spinng,521242,,Trading,28.35,10.92,0,0.94,5.94,136.25,77.51
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,604.35,16684.91,0.57,0.7,29.88,84.87,77.58
Prime Property,530695,,Construction,31.02,52.63,0,0.82,17.98,96.95,77.58
Interglobe Aviat,539448,INDIGO,Transport - Airlines,4197.9,162029.98,0,0.93,7.31,80.08,77.58
Gravita India,533282,GRAVITA,Mining / Minerals / Metals,1062.45,7334.96,0.48,0.91,8.96,82.61,77.66
Golkunda Diamond,523676,,Diamond Cutting / Jewellery,186.7,129.95,0.77,0.68,32.11,117.98,78.09
Biogen Pharma,531752,,Finance & Investments,1.14,74.42,0,0.62,38.38,80.95,78.12
T. Spiritual,532444,,Trading,2.08,4.16,0,0.87,12.97,131.11,78.15
Raaj Medisafe,524502,,Packaging,75.58,82.67,0,0.99,0.7,142.24,78.28
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,11.3,114.42,0,0.73,26.62,98.25,78.29
Prit Nandy Comm.,532387,PNC,Entertainment / Electronic Media Software,60.21,87.14,0,0.84,16.38,84.69,78.54
Varroc Engineer,541578,VARROC,Auto Ancillaries,556.7,8505.65,0,0.88,11.91,84.61,78.55
Party Cruisers,,PARTYCRUS,Miscellaneous,114,128.11,0,0.76,23.75,112.89,78.76
Vintage Secur.,531051,,Finance & Investments,17.53,6.43,0,0.62,38.36,111.97,78.88
Jindal Photo,532624,JINDALPHOT,Finance & Investments,665,682.31,0,0.81,19.2,108.73,78.9
I O C L,530965,IOC,Refineries,162.4,229328.88,3.06,0.83,17.48,89.94,78.95
Ventura Textiles,516098,,Textiles - Processing,13.15,25.59,0,0.58,41.74,139.09,79
Pagaria Energy,531396,,Mining / Minerals / Metals,7.29,3.17,0,0.58,42.05,127.81,79.04
Walpar Nutrition,,WALPAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,127.7,59.95,0,0.83,17.05,76.63,79.08
SVC Industries,524488,,Petrochemicals,4.6,75.03,0,0.87,13.04,90.08,79.17
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,99.65,127.82,0.49,0.68,32.21,96.55,79.18
ADC India,523411,,Telecommunications - Equipment,1389.8,639.29,0.31,0.98,2.47,110.58,79.22
Black Box,500463,BBOX,Computers - Software - Medium / Small,244.95,4091.64,0,0.78,21.54,103.87,79.3
Disha Resources,531553,,Trading,15.7,11.48,0,0.7,30.41,121.75,79.45
NCL Res. & Finl.,530557,,Finance & Investments,0.7,74.92,0,0.73,27.08,84.21,79.49
Silgo Retail,,SILGO,Diamond Cutting / Jewellery,34.25,63.37,0,0.84,16.46,96.84,79.57
Incap,517370,,Electronics - Components,60.86,31.23,1.64,0.62,37.73,82.76,79.58
Pun. & Sind Bank,533295,PSB,Banks - Public Sector,61.16,41452.95,0.79,0.79,21.08,107.96,79.58
H D I L,532873,HDIL,Construction,4.45,204.74,0,0.71,28.69,97.78,79.59
South Asian Ent.,526477,,Trading,53,21.2,0,0.99,1.03,85.96,79.66
N2N Technologies,512279,,Computers - Software - Medium / Small,24.08,7.77,0,0.73,27.03,224.97,79.7
Finolex Inds.,500940,FINPIPE,Plastics Products,312.4,19383.75,0.47,0.95,4.67,91.66,79.71
Savita Oil Tech,524667,SOTL,Petrochemicals,500.2,3456.45,0.8,0.81,18.71,85.53,79.83
Sai Capital,531931,,Finance & Investments,187.15,53.88,0,0.89,10.71,90.77,79.91
Vallabh Steels,513397,,Steel - Medium / Small,9.45,4.67,0,0.45,54.98,109.53,80
Sambhaav Media,511630,SAMBHAAV,Entertainment / Electronic Media Software,5.15,98.41,0,0.79,21.01,94.34,80
Encode Packaging,530733,,Packaging,14.83,4.68,0,0.79,20.78,161.55,80.12
Pharmaids Pharma,524572,,Pharmaceuticals - Indian - Formulations,55.84,196.93,0,0.7,29.52,95.93,80.17
Kamanwala Housin,511131,,Construction,16,22.55,0,0.68,32.32,103.56,80.22
Parvati Sweetner,541347,,Sugar,10.72,159.89,0,0.61,38.78,93.15,80.33
SKIL Infrastr,539861,SKIL,Construction,5.6,121.28,0,0.55,45.21,86.67,80.65
Andhra Petrochem,500012,,Chemicals,100.93,857.66,1.97,0.87,12.95,77.04,80.85
RMC Switchgears,540358,,Electric Equipment,418.55,431.45,0.05,0.62,37.99,107.13,80.88
Supreme Petroch.,500405,SPLPETRO,Petrochemicals,652.4,12267.82,1.4,0.83,16.68,82.72,80.93
Phoenix Township,537839,,Hotels,97.65,136.55,0,0.95,5.19,97.27,80.97
Gokaldas Exports,532630,GOKEX,Textiles - Products,845.25,6016.03,0.12,0.83,17.37,88.99,81.09
Indo Count Inds.,521016,ICIL,Textiles - Cotton/Blended,332.9,6593.27,0.59,0.82,17.98,82.21,81.2
Haldyn Glass,515147,,Glass & Glass Products,135.45,728.05,0.49,0.72,28.3,94.61,81.4
D-Link India,533146,DLINKINDIA,Trading,420.15,1491.71,1.15,0.92,7.84,87.57,81.5
Pacific Inds,523483,,Miscellaneous,222.5,153.36,0,0.91,8.81,81.48,81.52
Jagatjit Inds.,507155,,Breweries & Distilleries,185.05,863.54,0,0.72,27.7,81.24,81.54
Kandarp Digi,,KANDARP,Computers - Software - Medium / Small,31.65,28.4,0,0.93,6.64,107.54,81.58
Sellwin Traders,538875,,Miscellaneous,23.85,19.57,0,0.84,16.02,192.64,81.59
Unishire Urban,537582,,Finance & Investments,2.16,5.26,0,0.33,66.72,71.43,81.6
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,6177,15442.5,0.25,0.86,14.46,80.05,81.61
Chandrima Mercan,540829,,Trading,14.54,3.22,0,1,0.07,155.09,81.75
Indo US Bio-Tech,541304,,Miscellaneous,228,457.18,0,0.75,24.99,,81.97
G-Tec Janix,,GTECJAINX,Miscellaneous,76,77.44,0,0.54,45.97,82.04,82.04
Karur Vysya Bank,590003,KARURVYSYA,Banks - Private Sector,195.1,15692.17,1.03,0.93,6.78,82.93,82.06
Rategain Travel,543417,RATEGAIN,Computers - Software - Medium / Small,698.95,8237.04,0,0.76,24.17,83.21,82.07
Capacit'e Infra.,540710,CAPACITE,Construction,311,2631.31,0,0.93,6.61,91.74,82.21
Dilip Buildcon,540047,DBL,Construction,411.1,6010.89,0.02,0.81,18.51,98.41,82.24
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1191.3,69802.82,0.37,0.96,4.37,82.64,82.25
Humming Bird Edu,542592,,Miscellaneous,570,34.94,0.53,0.78,22.25,103.57,82.37
Salora Intl.,500370,,Trading,55.63,49.01,0,0.69,30.85,80.32,82.4
Sampann Utpadan,534598,SAMPANN,Miscellaneous,26.89,109.21,0,0.87,12.98,108.45,82.46
Dhanlaxmi Fabric,521151,,Textiles - Products,70.77,60.72,0,0.93,6.88,99.63,82.55
Ascensive Educa.,543443,,Miscellaneous,73,29.82,,0.98,2.01,105.06,82.55
NRB Bearings,530367,NRBBEARING,Bearings,316.15,3064.23,1.59,0.79,21.27,85.75,82.64
Poly Medicure,531768,POLYMED,Healthcare,1798.1,17256.65,0.18,0.93,6.62,86.92,82.73
Sakthi Finance,511066,,Finance & Investments,51.51,333.3,1.37,0.5,50.35,90.85,82.97
Walchand People,501370,,Miscellaneous,213,61.86,0.48,0.76,24.15,91.72,83
Abhishek Infra.,539544,,Construction,7.1,3.59,0,0.71,28.86,86.84,83
Autoline Industr,532797,AUTOIND,Auto Ancillaries,116.95,455.72,0,0.71,29.25,74.81,83.04
Ansal Buildwell,523007,,Construction,126.15,93.1,0,0.66,34.21,89.27,83.1
Brawn Biotech,530207,,Trading,27.47,8.24,0,1,0,91.3,83.13
Axtel Industries,523850,,Engineering,565.75,913.96,1.07,0.67,33.46,102.05,83.19
Bright Solar,,BRIGHT,Pumps,8.7,21.76,0,0.7,30.4,87.1,83.33
Pacheli Indust.,523862,,Finance & Investments,15.68,5.85,0,0.88,12.16,172.7,83.39
HMT,500191,HMT,Engineering,55.25,1964.71,0,0.74,26.14,110.48,83.39
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,5119.6,102356.81,1.97,0.98,2.02,86.5,83.4
Century Extrus.,500083,CENTEXT,Aluminium and Aluminium Products,18.61,148.88,0,0.57,42.54,95.89,83.41
Ladderup Finance,530577,,Finance & Investments,34.19,43.93,0,0.85,15.12,99.36,83.57
G G Dandekar,505250,,Miscellaneous,105,49.99,0,0.64,35.5,105.88,83.6
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2332.9,29375.13,1.55,0.92,8.15,79.21,83.6
Inani Securities,531672,,Finance & Investments,38.9,17.75,0,0.93,7.38,130.86,83.76
Bharat Road,540700,BRNL,Construction,54.5,457.53,0,0.55,44.67,109.62,83.77
Rites,541556,RITES,Engineering - Turnkey Services,701,16845.2,2.92,0.85,15.15,92.16,83.82
Kwality Pharma,539997,,Pharmaceuticals - Indian - Bulk Drugs & Formln,548.5,569.15,0,0.93,6.61,103.15,83.83
Netlink Solns(I),509040,,Computers - Software - Medium / Small,170,43.04,0,0.7,30.31,142.13,83.89
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1423,2353.51,0.84,0.82,18.22,84.33,83.92
Apoorva Leasing,539545,,Finance & Investments,33.2,66.31,0,0.85,15.28,88.64,84.08
Shetron,526137,,Packaging,112,100.8,0.89,0.73,27.13,86.67,84.18
Piramal Pharma,543635,PPLPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,148.2,19606.1,0,0.89,11.1,86.63,84.2
Chothani Foods,540681,,Trading,19.51,19.81,0,0.51,48.64,62.58,84.27
Angel One,543235,ANGELONE,Finance & Investments,2498.5,22484.42,1.62,0.64,35.94,92.67,84.59
Indbank Merchant,511473,INDBANK,Finance & Investments,47.74,211.87,0,0.79,21.35,102.72,84.63
Sinclairs Hotels,523023,SINCLAIR,Hotels,115.75,593.29,0.66,0.66,33.78,106.7,84.67
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,530.2,3191.32,0.48,0.89,11.48,108.74,84.69
KJMC Corporate,532304,,Finance & Investments,65,25.53,0,0.9,10.26,100.56,84.7
Classic Leasing,540481,,Finance & Investments,14.5,4.35,0,0.54,45.9,93.33,84.71
Udayshivakumar,543861,USK,Construction,58.62,324.52,0,0.81,19.14,102.14,84.73
Paras Defence,543367,PARAS,Engineering,916.3,3573.59,0,0.94,5.92,75.84,84.74
Kesar Terminals,533289,,Miscellaneous,80.9,88.39,0,0.76,23.68,117.47,84.75
Dhabriya Poly.,538715,,Plastics Products,286.4,310.09,0.18,0.67,33.08,90.93,84.9
Choice Intl.,531358,CHOICEIN,Finance & Investments,356.45,7106.99,0,0.99,0.99,114.57,84.97
Balgopal Commer.,539834,,Trading,35.6,58.8,0,0.79,20.89,118.14,85.12
Creative Newtech,,CREATIVE,Trading,714.05,1007.79,0.07,0.78,21.96,81.78,85.13
Melstar Info.,532307,MELSTAR,Computers - Software - Medium / Small,5,7.14,0,0.79,20.63,170.27,85.19
Alok Industries,521070,ALOKINDS,Textiles - Processing,25.53,12676.25,0,0.65,34.94,89.81,85.2
Rama Vision,523289,,Trading,77,80.28,0,0.77,22.85,126.47,85.22
Moneyboxx Fin.,538446,,Finance & Investments,299.7,913.89,0,0.94,6.05,111.73,85.23
Finolex Cables,500144,FINCABLES,Cables - Power,1443.25,22072.93,0.47,0.96,4.42,86.88,85.24
Zenith Steel,531845,ZENITHSTL,Steel - Medium / Small,7.9,112.36,0,0.78,22.17,110.67,85.37
Goodluck India,530655,GOODLUCK,Steel - Medium / Small,884,2808.75,0.57,0.76,24.37,126.67,85.46
Rajasthan Gases,526873,,Miscellaneous,16.68,128.23,0,1,0,150.07,85.54
Gini Silk Mills,531744,,Textiles - Processing,74.79,41.81,0,0.78,21.69,82.41,85.79
Ind-Agiv Commer.,517077,,Trading,64.1,6.41,0,0.99,1.23,164.55,85.8
Valencia Nutrit.,542910,,Food - Processing - Indian,28.45,39.72,,0.51,49.2,83.9,85.83
MKVentures Cap.,514238,,Finance & Investments,2360,907.03,0,0.84,15.71,140.57,85.86
Nectar Lifesci.,532649,NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.55,707.54,0,0.69,30.96,87.8,85.88
Modison,506261,MODISONLTD,Electric Equipment,125,405.63,0.83,0.79,21.24,85.05,85.89
Canara Bank,532483,CANBK,Banks - Public Sector,118,107033.72,2.77,0.93,6.78,102.44,85.92
360 ONE,542772,360ONE,Finance & Investments,775.25,27820.86,2.09,0.86,13.97,87.06,86.13
Shera Energy,,SHERA,Mining / Minerals / Metals,180.2,410.64,0,0.86,13.78,98.35,86.15
Subros,517168,SUBROS,Auto Ancillaries,608,3966.34,0.17,0.83,17.14,88.35,86.19
N G Industries,530897,,Healthcare,164,54.94,2.13,0.71,28.7,104.97,86.24
Ashirwad Cap.,512247,,Finance & Investments,6.13,36.78,0,0.74,25.61,81.9,86.42
Syncom Formul.,524470,SYNCOMF,Pharmaceuticals - Indian - Formulations,11.95,1123.3,0,0.64,35.92,81.06,86.47
Homesfy Realty,,HOMESFY,Construction,798.6,243.98,0,0.82,18.45,131.61,86.5
Disa India,500068,,Engineering,15331,2229.44,0.71,0.87,13.27,91.6,86.51
Union Qual. Pla.,526799,,Plastics Products,12.46,8.63,0,0.67,32.94,103.26,86.53
Suraj,531638,,Steel - Medium / Small,236.8,434.87,0.64,0.74,25.76,96.84,86.57
Xchanging Sol.,532616,XCHANGING,Computers - Software - Medium / Small,114.9,1280.01,27.86,0.65,35.05,84.13,86.57
Mitcon Consult.,,MITCON,Miscellaneous,132.15,177.49,0,0.82,18,97.83,86.61
Omaxe,532880,OMAXE,Construction,91.4,1671.67,0,0.75,25.36,117.36,86.7
Genomic Valley,539206,,Miscellaneous,37,11.31,0,0.74,26.21,79.18,86.71
B C C Fuba India,517246,,Electronics - Components,60.6,92.77,0,0.74,25.67,117.59,86.73
Scan Steels,511672,,Steel - Medium / Small,70.63,369.77,0,0.74,25.57,111.47,86.78
LKP Securities,540192,,Finance & Investments,22.39,177.32,0.66,0.79,21.44,123.9,87.04
Simm. Marshall,507998,,Fasteners,79.53,89.08,0,0.8,20.47,90.49,87.07
Surana Telecom,517530,SURANAT&P,Power Generation And Supply,17.95,243.68,0,0.86,14.32,106.8,87.1
A K Spintex,539300,,Textiles - Processing,168.75,84.91,0,0.95,4.66,95.7,87.12
Imagica. Enter.,539056,IMAGICAA,Recreation / Amusement Parks,77.5,4203,0,0.85,14.98,95.95,87.29
GTL Infra.,532775,GTLINFRA,Telecommunications - Equipment,1.5,1921.06,0,0.57,43.18,114.29,87.5
Mukat Pipes,523832,,Steel - Medium / Small,12.13,14.35,0,0.63,36.62,103.52,87.5
Inducto Steel,532001,,Miscellaneous,62.65,25.17,0,0.78,22.37,117.99,87.52
Frog Cellsat,,FROG,Telecommunications - Equipment,312.85,482.91,0,0.91,9.06,137.91,87.57
Pricol Ltd,540293,PRICOLLTD,Auto Ancillaries,439,5350.59,0,0.94,6.3,108.06,87.6
Elnet Technolog,517477,,Construction,338.1,135.24,0.6,0.85,15.26,92.98,87.62
Paul Merchants,539113,,Finance & Investments,798.95,246.38,0,0.54,46.01,86.82,87.68
Organic Coatings,531157,,Chemicals,12.15,9.32,0,0.89,10.99,100.5,87.77
HEG,509631,HEG,Electrodes - Graphites,2295.1,8858.06,1.81,0.84,16.38,92.7,87.93
Agri-Tech India,537292,AGRITECH,Miscellaneous,185,109.88,0,0.71,29.4,98.07,88.19
Super Sales Ind.,512527,,Textiles - Cotton/Blended,1468.3,450.79,0.46,0.68,31.68,88.27,88.34
Kovai Medical,523323,,Healthcare,4155.05,4545.58,0.12,0.87,13.02,94.16,88.38
Hardcast.& Waud,509597,,Miscellaneous,699.8,47.59,0,0.77,23.18,,88.4
Perfect Infraeng,,PERFECT,Electric Equipment,29.95,49.22,0,0.49,51.18,109.88,88.51
Cybele Industrie,531472,,Cables - Power,38,40.65,0,0.77,23.08,117.02,88.56
Triton Valves,505978,,Auto Ancillaries,2680.1,317.2,0,0.75,25.45,133.66,88.57
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1915.25,303381.75,0,0.95,5.14,134.84,88.63
P.E. Analytics,,PROPEQUITY,Miscellaneous,275.05,288.3,0,0.85,15.11,102.84,88.64
Adani Ports,532921,ADANIPORTS,Miscellaneous,1437.7,310563.23,0.42,0.99,1.34,104.55,88.99
ITL Industries,522183,,Engineering,440,140.97,0.23,0.86,13.73,111.95,88.99
M & M,500520,M&M,Automobiles - Passenger Cars,2506.45,311684.3,0.64,0.96,4.24,89.84,89.06
S T C,512531,STCINDIA,Trading,136.65,819.9,0,0.68,32.18,85.54,89.23
Checkpoint Trend,531099,,Trading,8.89,4.86,0,0.72,28.25,136.44,89.27
GAIL (India),532155,GAIL,Miscellaneous,204.35,134362.19,2.69,0.96,4.38,98.01,89.27
Arihant Capital,511605,ARIHANTCAP,Finance & Investments,64.62,672.79,0.6,0.77,23.39,89.5,89.28
Sarda Energy,504614,SARDAEN,Steel - Medium / Small,224.15,7898.64,0.33,0.79,21.07,93.07,89.39
Mishra Dhatu Nig,541195,MIDHANI,Steel - Medium / Small,431.85,8090.25,0.81,0.79,21.12,91.93,89.51
Dynamic Portfol,530779,,Finance & Investments,60.71,70.97,0,0.75,24.57,103.79,89.53
Gujarat Intrux,517372,,Castings & Forgings,320.05,109.95,3.14,0.8,19.99,98.17,89.59
Indian Link Ch.,504746,,Trading,206.75,10.34,0,1,0,93.41,89.61
Sangam Finserv,538714,,Finance & Investments,123,114.67,0,1,0.4,125.61,89.61
Guj Inds. Power,517300,GIPCL,Power Generation And Supply,179.95,2721.65,2.08,0.76,24.23,94.96,89.62
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,1162,32790.27,0.22,0.98,1.85,91.1,89.63
Jauss Polymers,526001,,Plastics Products,8.08,3.74,0,0.86,14.13,109.33,89.73
NRB Indl Bearing,535458,NIBL,Bearings,34,82.48,0,0.67,33.33,98.83,89.92
Robust Hotels,543901,RHL,Hotels,170.05,294.07,0,0.74,25.74,87.59,89.92
Siddha Ventures,530439,,Finance & Investments,10.54,10.54,0,0.67,33.33,88.21,89.93
Starteck Fin.,512381,STARTECK,Finance & Investments,230.6,228.53,0.11,0.55,45.08,108.69,90.11
Times Guaranty,511559,TIMESGTY,Finance & Investments,109.2,98.16,0,0.66,34.38,106.62,90.31
Ent.Network,532700,ENIL,Entertainment / Electronic Media Software,222.7,1061.61,0.45,0.62,37.93,88.73,90.31
CIL Nova Petro.,533407,,Textiles - Manmade,35.97,97.48,0,0.9,10.08,138.84,90.39
M T N L,500108,MTNL,Telecommunications - Service Provider,37,2331,0,0.71,29.39,95.25,90.41
Integ. Proteins,519606,,Solvent Extraction,19.1,7.02,0,0.91,8.61,170.92,90.43
Signet Industrie,512131,SIGIND,Plastics Products,88.65,260.96,0.58,0.91,8.94,109.57,90.46
Shalby,540797,SHALBY,Healthcare,259.7,2805.02,0.45,0.76,23.51,85.77,90.64
Reliance Power,532939,RPOWER,Power Generation And Supply,24.54,9857.67,0,0.71,28.77,89.5,90.73
Vardhman Polytex,514175,VARDMNPOLY,Textiles - Cotton/Blended,9.58,261.48,0,0.78,22.11,109.63,90.78
Arunis Abode,526935,,Construction,50.95,15.29,0,0.87,13.14,148.54,90.82
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,174.85,616.98,0.41,0.87,13.01,95.36,90.83
We Win Ltd,543535,WEWIN,Computers - Software - Medium / Small,79.39,80.65,0,0.69,30.78,126.18,90.86
SML ISUZU,505192,SMLISUZU,Automobiles - LCVs / HCVs,2109.4,3052.27,0,0.85,14.94,113.08,90.89
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,53,163,0,0.76,24.09,88.81,90.99
Kinetic Trust,531274,,Finance & Investments,16.45,5.53,0,1,0,109.82,91.06
Jayabharat Cred.,501311,,Finance & Investments,8.79,4.4,0,0.59,41.2,149.72,91.09
Bengal Tea & Fab,532230,,Tea,118.8,106.93,0.85,0.77,22.83,65.46,91.16
IST,508807,,Auto Ancillaries,940,1096.42,0,0.85,14.94,94.5,91.16
Destiny Logistic,,DESTINY,Construction,34,52.32,0,0.6,39.66,106.69,91.18
TPL Plastech,526582,TPLPLASTEH,Packaging,84.2,656.76,0.72,0.79,21.16,118.13,91.27
New India Assura,540769,NIACL,Finance & Investments,229.1,37755.68,0.81,0.71,29.44,101.14,91.46
Shiva Suitings,521003,,Trading,24.47,3.79,0,0.69,30.91,82.48,91.47
Amara Raja Ener.,500008,ARE&M,Auto Ancillaries,1180.3,21602.48,0.49,0.92,7.64,97.05,91.5
Ethos Ltd,543532,ETHOSLTD,Trading,2444.65,5984.59,0,0.8,19.69,99.21,91.51
PC Jeweller,534809,PCJEWELLER,Diamond Cutting / Jewellery,46.41,2159.9,0,0.7,30.35,95.82,91.58
Brijlaxmi Leas.,532113,,Finance & Investments,8,5.16,0,0.74,26.47,127.27,91.62
Ashiana Housing,523716,ASHIANA,Construction,350.25,3520.9,0.14,0.88,12.27,98.61,91.71
General Insuranc,540755,GICRE,Finance & Investments,356.05,62465.38,1.96,0.76,23.89,99.41,91.71
Trans Freight,513063,,Packaging,28.3,20.59,0,0.73,26.87,81.41,91.82
TCFC Finance,532284,,Finance & Investments,57.8,60.57,0,0.8,20.17,99.31,91.85
S A I L,500113,SAIL,Steel - Large,158.4,65427.43,0.93,0.9,9.82,93.64,91.91
Hind.Fluoro Carb,524013,,Petrochemicals,18.07,35.42,0,0.76,23.88,96.41,91.93
City Online Ser.,538674,,Telecommunications - Service Provider,6.24,3.22,0,1,0,111.53,91.94
Gemstone Invest.,531137,,Finance & Investments,1.42,10.61,0,0.61,38.53,97.22,92
HB Portfolio,532333,,Finance & Investments,68.98,74.25,1.44,0.7,29.61,97.03,92.01
HDFC AMC,541729,HDFCAMC,Finance & Investments,3881.75,82869.12,1.25,0.95,4.54,105.87,92.24
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,151.2,102459.5,0.42,0.96,3.63,91.27,92.27
EL Forge,531144,,Castings & Forgings,19.89,40.41,0,0.88,12.42,120.02,92.31
High Energy Bat.,504176,,Electric Equipment,777.75,697.15,0.38,0.73,26.54,92.04,92.41
EIH,500840,EIHOTEL,Hotels,437.05,27331.65,0.26,0.77,22.78,114.98,92.48
Oberoi Realty,533273,OBEROIRLTY,Construction,1820.6,66197.38,0.32,0.98,2.17,93.49,92.49
ICE Make Refrig.,,ICEMAKE,Electric Equipment,688.1,1085.8,0.25,0.92,7.94,94.21,92.53
Asahi Songwon,532853,ASAHISONG,Dyes And Pigments,372.35,438.89,0.12,0.93,7.38,99.97,92.6
Suvidha Infra.,531640,,Construction,23.57,20.97,0,1,0,189.91,92.72
Chowgule Steam,501833,,Shipping,28.99,105.26,0,0.79,20.6,120.79,92.73
Phoenix Intl.,526481,,Leather / Leather Products,45.5,76.39,0,0.85,15.27,97.83,92.78
Polycab India,542652,POLYCAB,Cables - Power,6723,101011.58,0.3,0.97,2.58,98.92,92.8
RKD Agri,511169,,Trading,8.33,38.01,0,0.94,5.88,91.49,92.82
GSL Securities,530469,,Finance & Investments,13.91,4.51,0,0.89,11.4,218.31,92.85
Williamson Magor,519224,WILLAMAGOR,Finance & Investments,36.56,40.08,0,0.74,25.99,90.42,92.86
Available Fin.,531310,,Finance & Investments,286.4,292.14,0,0.84,16.11,187.69,92.86
Supreme Engg.,,SUPREMEENG,Steel - Medium / Small,1.4,34.99,0,1,0,180,92.86
J D Orgochem,524592,,Trading,11.4,15.11,0,0.88,12.31,147.29,92.89
RTS Power Corpn.,531215,,Electric Equipment,231.8,212.52,0,0.79,21.16,112.27,93.01
Viji Finance,537820,VIJIFIN,Finance & Investments,2.79,39.76,0,0.85,15.45,165.71,93.1
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9100.9,254078.74,0.89,0.97,2.75,100.42,93.14
Scooters India,505141,,Automobiles - Scooters And 3 - Wheelers,61.32,535.16,0,0.67,32.82,113.66,93.16
Welcast Steels,504988,,Abrasives And Grinding Wheels,1294.5,82.88,0.19,0.7,30.47,98.83,93.21
Welterman Intl.,526431,,Fertilizers,23.83,10.58,0,0.86,14.03,159.87,93.58
C D S L,,CDSL,Miscellaneous,2079.7,21732.88,0.76,0.93,7.11,111.14,93.61
Natural Biocon,543207,,Trading,12.1,13.75,0,0.81,18.52,106.84,93.71
Virya Resources,512479,,Construction,592.65,88.9,0,0.78,22.43,84.63,93.83
Uma Exports,543513,UMAEXPORTS,Trading,88.15,298.04,0,0.74,25.92,98.54,94.03
Nagpur Power,532362,,Mining / Minerals / Metals,122.8,160.87,0,0.75,25.36,108.1,94.04
Godrej Propert.,533150,GODREJPROP,Construction,2782,77351.09,0,0.95,4.92,98.38,94.04
Crest Ventures,511413,CREST,Finance & Investments,345,981.52,0.28,0.66,34.29,90.4,94.09
Veer Energy,503657,,Construction,21,31.39,0,0.64,36.36,90.74,94.16
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small,2111.4,4285.35,0.05,0.95,5.23,96.41,94.24
Spice IslandsInd,526827,,Textiles - Products,42.45,18.25,0,0.81,18.52,173.52,94.28
Surana Solar,533298,SURANASOL,Electric Equipment,38.5,189.45,0,0.8,19.81,101.04,94.42
Indowind Energy,532894,INDOWIND,Power Generation And Supply,21.4,229.72,0,0.64,35.54,122.92,94.47
Lupin,500257,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1587.9,72368.53,0.25,0.92,8.11,97.3,94.47
Swiss Military,523558,,Trading,26.4,519,0.57,0.82,18.14,120,94.48
